PlantCode,AppleCode,Exertis_Part_Number,Description,OracleItemStatus,AppleItemStatus,GoodStock,BacklogVMI,OraclePoQty,Safety_Stock,Gross_Fcst_cw,Gross_Fcst_wk1,Gross_Fcst_wk2,Gross_Fcst_wk3,InTransit,OracleInStockQty,ToOrder,DemandQtyExertisToBring215,ToOrderAllLocales,NoOfLocalesToOrder,innerqty,Outerqty,CartonAssignedQty
LU10,HJ3Q2ZM/A,TECH215174@APP,TECH21 EVO MESH IPH5S PINK-ZML,Active,Live,474,11,0,478,74,74,74,74,0,1796,15,15,78,4,10,100,20
LU10,HJ3R2ZM/A,TECH21-5175@APP,Tech21 Evo Tactical for iPhone 5/5S - Smokey/Black,Active,Live,263,9,0,349,54,54,54,54,0,2910,95,95,177,5,10,100,100
LU10,HJ3T2ZM/A,LOG984-000617@APP,LOGITECH UE ROLL BT SPEAKER - BLUE-ZML,Active,Live,45,0,0,20,3,3,3,3,0,10,-25,,0,0,4,8,0
LU10,HJ4Q2ZM/A,RHAS500I@APP,RHA S500i Earphones with Remote,Active,Live,246,14,0,372,89,89,84,0,0,2,140,140,300,4,12,12,0
LU10,HJ9U2ZM/A,TECH215250@APP,Tech21 Patriot for iPad mini 3 - Black,Active,Live ,10,0,0,7,1,1,1,1,0,50,-3,,0,0,5,25,0
LU10,HJ9V2ZM/A,LOG984-000557@APP,UE BOOM 2 IPX7 BT SPEAKER BLACK-ZML,Active,Live,73,5,28,110,17,17,17,17,0,7,42,42,79,3,4,4,4
LU10,HJ9W2ZM/A,LOG984-000558@APP,UE BOOM 2 IPX7 BT SPEAKER BLUE-ZML,Active,Live,49,0,0,46,7,7,7,7,0,57,-3,,12,2,4,4,0
LU10,HJ9X2ZM/A,RHAT20IBLK@APP,RHA T20i in ear headphones carbon black,Active,Live,55,0,0,102,17,17,15,15,0,1,47,47,56,2,6,24,0
LU10,HJA32B/A,CAN100UKBK@APP,CANARY SECURITY CAMERA BLACK-GBR,Active,Live,184,7,240,220,34,34,34,34,0,202,43,43,43,1,1,6,43
LU10,HJDC2ZM/A,SANSDWS4-128G-GA46@APP,SanDisk Connect Wireless Stick 128GB,Active,Live,160,8,700,226,35,35,35,35,0,360,74,74,179,5,20,100,100
LU10,HJKZ2B/A,NSTLT3010GBV2@APP,Nest Learning Thermostat 3rd Generation UK Heating & HW,Active,Live,125,4,0,59,9,9,9,9,0,26,-62,,0,0,4,4,0
LU10,HJKZ2ZM/A,NSTLT3010FDV2@APP,Nest Learning Thermostat 3rd Generation (FR/NE) Heating & HW,Active,Live,0,0,0,0,0,0,0,0,0,27,0,,0,0,4,4,0
LU10,HJQ62ZM/A,TECH215235@APP,Tech21 Evo Elite iPhone 6P/6s Plus Rose Gold,Active,Live,758,23,900,710,110,110,110,110,0,102,-25,,47,3,10,100,0
LU10,HJQ72ZM/A,TECH215234@APP,Tech21 Evo Elite iPhone 6/6s Rose Gold,Active,Live,1689,63,3190,1652,256,256,256,256,0,95,26,26,180,5,10,100,0
LU10,TJ540LL/A,BRFTJ540LL/A@APP,Bretford MobilePro Desk Mount,Active,Live,32,0,39,26,4,4,4,4,0,27,-6,,1,1,1,1,0
LU10,TX322ZM/A,BRFTX322ZM/A@APP,Bretford Mobility Cart for 20 Mac Books,Active,Live,3,0,0,2,0,0,0,0,0,23,-1,,2,1,1,1,0
LU10,TX323ZM/A,BRFTX323ZM/A@APP,Bretford Mobility Cart for 30 Mac Books,Active,Live,2,0,0,2,0,0,0,0,0,16,0,,0,0,1,1,0
LU10,TY173LL/A,BRFTY173LL/A@APP,Bretford MobilePro Desk Mount,Active,Live,5,0,34,0,0,0,0,0,0,17,-5,,4,1,1,1,0
LU10,TY174LL/A,BRFTY174LL/A@APP,Bretford MobilePro Desk Mount Combo,Active,Live,18,0,11,20,3,3,3,3,0,98,2,2,2,1,1,1,2
